"","year","da","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Sat","Sun","Thu","Tue","Wed"
"88",2013,12,475,42.7,41.5,1022.6,7.1,7.9,13,20,46.4,39.2,0.17,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2015,14,506,32.1,24,1031.2,8,9.6,13,22.9,37,26.1,0.15,999.9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"90",2016,7,542,40.5,29.9,1026.9,10,6.8,13,999.9,46.9,24.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"91",2019,23,553,31.6,23.8,1029.6,9.4,8.3,13,999.9,42.1,8.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"92",2019,29,681,33.8,23.7,1016.7,10,9.6,14,999.9,42.1,30,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"93",2019,2,502,35,23.4,1022.9,10,10.3,14,24.1,55,28,0.61,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"94",2014,29,649,20.3,10.4,1021.2,6.3,8.1,14,999.9,27,17.1,0.02,999.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"95",2017,19,610,40.7,36.9,1014.4,7.4,7.6,14,22,45,37,0.1,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"96",2013,28,507,27.3,10.8,1028.9,8.8,7.4,14,20,32,21.9,0,999.9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"97",2017,17,657,40,30.9,1023.1,9.6,8.4,14,21,44.1,37,0,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"98",2013,17,491,39.4,34.6,1014.2,8.6,8.6,14,20,41,37,0.47,999.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"99",2015,12,580,40.9,35.6,1028.3,7.7,6.3,14,29.9,52,21,0,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"100",2016,12,637,33,19.1,1015.4,10,7.9,14,999.9,50,19.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"101",2018,17,611,36,35.2,1024.3,5.5,7.7,14,999.9,41,28,0.17,999.9,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"102",2018,10,687,31.4,24.2,1029.7,10,6.6,14,999.9,42.1,21.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"103",2013,15,516,42.3,38.3,1023.1,9.5,8,15,999.9,48.9,39,0.24,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"104",2015,30,622,35.1,31.1,1012.2,8.4,8.1,15,999.9,41,23,0,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"105",2016,27,670,43,36.7,1014,7.5,9.4,15,999.9,48,36,0,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"106",2017,29,428,38,26.4,1005.7,9.9,10.2,15,22,43,34,0,999.9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"107",2014,31,560,33.7,26.7,1020.9,9.9,9.1,15,19,37.4,28.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"108",2017,22,411,43.2,40.4,1008.1,4.5,8.4,15,21,53.1,39,0,999.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"109",2014,14,559,45.5,43.2,1012.5,5.2,11.8,15,22,48,28.9,0,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"110",2017,16,477,31.6,20.7,1029,10,6.2,15,18.1,43,21,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"111",2017,30,545,34,23.1,1006.1,9.7,6.5,15,22,43,24.1,0,999.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
